Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,39,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",5,Regular do ensino fundamental ou do 1º grau,5,6 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",5,Regular do ensino médio óu do 2º grau,5,11 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,18,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,17,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,8,Não aplicável,8,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,26,Branca,Sim,Oitava (o) ,Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,4,Não aplicável,4,15 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,52,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.300,00 "," R$  1.300,00 ",6,Regular do ensino fundamental ou do 1º grau,6,5 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.200,00 "
Mulher,71,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,63,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.000,00 "," R$  1.000,00 ",13,Regular do ensino fundamental ou do 1º grau,13,5 anos de estudo,Conta-própria,Conta-própria," R$  1.200,00 "
Homem,17,Parda,Sim,Oitava (o) ,Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,13,Não aplicável,13,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,13,Não aplicável,13,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,72,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Antigo primário (elementar),1,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  800,00 "," R$  800,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  800,00 "
Mulher,15,Parda,Sim,Nona (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,5,Parda,Sim,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,33,Indígena,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,7,Regular do ensino fundamental ou do 1º grau,7,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,15,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,0,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,10,Parda,Não,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,26,Branca,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Pré-escola,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,74,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,66,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,38,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.200,00 "
Mulher,15,Branca,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,17,Parda,Sim,Terceira (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,63,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Antigo primário (elementar),3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,51,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,27,Branca,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,39,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,18,Parda,Sim,Terceira (o),Não aplicável,Sim,Neto(a)," R$  450,00 "," R$  450,00 ",6,Não aplicável,6,11 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  450,00 "
Mulher,77,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,22,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,9 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.120,00 "
Mulher,61,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",1,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,1,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  500,00 "
Mulher,49,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,10,Parda,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",6,Regular do ensino fundamental ou do 1º grau,6,6 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,34,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,69,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,"Antigo científico, clássico, etc. (médio 2º ciclo)",1,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  3.500,00 "," R$  3.500,00 ",1,Regular do ensino médio óu do 2º grau,1,10 anos de estudo,Empregador,Empregador," R$  2.500,00 "
Homem,71,Preta,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Não,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,63,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,"Antigo científico, clássico, etc. (médio 2º ciclo)",1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.400,00 "," R$  1.400,00 ",4,Superior - graduação,4,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.400,00 "
Mulher,20,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,3,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,50,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,50,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,65,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  300,00 "," R$  300,00 ",4,Antigo primário (elementar),4,2 anos de estudo,Conta-própria,Conta-própria," R$  250,00 "
Mulher,64,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Antigo primário (elementar),4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  300,00 "," R$  300,00 ",5,Regular do ensino fundamental ou do 1º grau,5,2 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  200,00 "
Mulher,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,28,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Branca,Sim,Não aplicável,Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,44,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,88,Preta,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,52,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,39,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Superior - graduação,4,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,70,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Outro parente,Não aplicável,Não aplicável,8,Não aplicável,8,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  600,00 "," R$  600,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada, R$  -   
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  120,00 "," R$  120,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada, R$  -   
Mulher,63,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,84,Parda,Não,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,44,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",1,Regular do ensino médio óu do 2º grau,1,12 anos de estudo,Conta-própria,Conta-própria," R$  150,00 "
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  650,00 "," R$  650,00 ",5,Superior - graduação,5,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  650,00 "
Mulher,70,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,16,Preta,Sim,Nona (o),Não aplicável,Não,Enteado(a),Não aplicável,Não aplicável,5,Não aplicável,5,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Branca,Sim,Terceira (o),Não aplicável,Não aplicável,Outro parente,Não aplicável,Não aplicável,5,Não aplicável,5,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,34,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,14,Parda,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  300,00 "," R$  300,00 ",5,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,5,10 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  150,00 "
Homem,10,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Irmão ou irmã,Não aplicável,Não aplicável,5,Não aplicável,5,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Superior - graduação,4,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,76,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Superior - graduação,2,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,81,Preta,Sim,Não aplicável,Não aplicável,Não,Agregado(a),Não aplicável,Não aplicável,2,Alfabetização de jovens e adultos,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,44,Branca,Sim,Não aplicável,Não aplicável,Sim,Irmão ou irmã," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,40,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.700,00 "," R$  2.700,00 ",3,Superior - graduação,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  4.000,00 "
Mulher,30,Branca,Sim,Não aplicável,Não aplicável,Sim,Irmão ou irmã," R$  3.600,00 "," R$  3.600,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.600,00 "
Mulher,22,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  300,00 "," R$  300,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Homem,23,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Superior - graduação,4,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,44,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,38,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  150,00 "," R$  150,00 ",2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  150,00 "
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,11 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,53,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  200,00 "," R$  200,00 ",4,Regular do ensino fundamental ou do 1º grau,4,2 anos de estudo,Conta-própria,Conta-própria," R$  200,00 "
Mulher,50,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,7,Classe de alfabetização - CA,7,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,12,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,53,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Classe de alfabetização - CA,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,85,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,47,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  3.500,00 "," R$  3.500,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Conta-própria,Conta-própria," R$  2.000,00 "
Mulher,43,Parda,Sim,Primeira (o),Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Não aplicável,5,12 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,36,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,6,Não aplicável,6,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Branca,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,54,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino fundamental ou do 1º grau,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,64,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Classe de alfabetização - CA,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,69,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,28,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,58,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,52,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,61,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Classe de alfabetização - CA,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
